Prog_ID,Name,Sets,Reps,Category,Level,Duration_wk,Frequency,Split,Focus,Total_Sessions,Avg_Time_min,Equipment_Needed,Created_Date,Status,Description,Linked_Clients
PRG068,Rehab Isolation Intermediate,3,10,Recovery,Intermediate,8,5,Isolation,Rehab,40,90,Minimal,2025-04-27,Active,"Intermediate 8-week rehab program using isolation split. 5x/week, ~90min/session.",#REF!
PRG069,Rehab Isolation Advanced,3,10,Recovery,Advanced,4,3,Isolation,Rehab,12,45,Dumbbells Only,2025-05-08,Active,"Advanced 4-week rehab program using isolation split. 3x/week, ~45min/session.",#REF!
PRG070,Rehab Prehab Beginner,3,10,Recovery,Beginner,16,3,Prehab,Rehab,48,75,Full Gym + Cables,2025-09-12,Draft,"Beginner 16-week rehab program using prehab split. 3x/week, ~75min/session.",#REF!
PRG071,Rehab Prehab Intermediate,3,10,Recovery,Intermediate,6,6,Prehab,Rehab,36,45,Bodyweight,2025-05-12,Draft,"Intermediate 6-week rehab program using prehab split. 6x/week, ~45min/session.",#REF!
PRG072,Rehab Prehab Advanced,3,10,Recovery,Advanced,4,5,Prehab,Rehab,20,45,Minimal,2025-02-13,Archived,"Advanced 4-week rehab program using prehab split. 5x/week, ~45min/session.",#REF!
PRG073,Powerlifting Squat/Bench/Dead Beginner,3,10,Strength,Beginner,6,5,Squat/Bench/Dead,Powerlifting,30,90,Full Gym,2025-12-20,Archived,"Beginner 6-week powerlifting program using squat/bench/dead split. 5x/week, ~90min/session.",#REF!
PRG074,Powerlifting Squat/Bench/Dead Intermediate,3,10,Strength,Intermediate,16,4,Squat/Bench/Dead,Powerlifting,64,90,Full Gym,2025-04-07,Archived,"Intermediate 16-week powerlifting program using squat/bench/dead split. 4x/week, ~90min/session.",#REF!
PRG075,Powerlifting Squat/Bench/Dead Advanced,3,10,Strength,Advanced,8,6,Squat/Bench/Dead,Powerlifting,48,90,Minimal,2025-11-18,Archived,"Advanced 8-week powerlifting program using squat/bench/dead split. 6x/week, ~90min/session.",#REF!
PRG076,Powerlifting Conjugate Beginner,3,10,Strength,Beginner,6,6,Conjugate,Powerlifting,36,45,Minimal,2025-12-01,Archived,"Beginner 6-week powerlifting program using conjugate split. 6x/week, ~45min/session.",#REF!
PRG077,Powerlifting Conjugate Intermediate,3,10,Strength,Intermediate,6,4,Conjugate,Powerlifting,24,75,Dumbbells Only,2025-02-05,Archived,"Intermediate 6-week powerlifting program using conjugate split. 4x/week, ~75min/session.",#REF!
PRG078,Powerlifting Conjugate Advanced,3,10,Strength,Advanced,16,3,Conjugate,Powerlifting,48,75,Full Gym,2025-02-12,Active,"Advanced 16-week powerlifting program using conjugate split. 3x/week, ~75min/session.",#REF!
PRG079,Powerlifting Peaking Beginner,3,10,Strength,Beginner,8,5,Peaking,Powerlifting,40,60,Minimal,2025-07-03,Archived,"Beginner 8-week powerlifting program using peaking split. 5x/week, ~60min/session.",#REF!
PRG080,Powerlifting Peaking Intermediate,3,10,Strength,Intermediate,8,3,Peaking,Powerlifting,24,45,Minimal,2025-05-26,Archived,"Intermediate 8-week powerlifting program using peaking split. 3x/week, ~45min/session.",#REF!
PRG081,Powerlifting Peaking Advanced,3,10,Strength,Advanced,8,6,Peaking,Powerlifting,48,60,Full Gym,2025-02-27,Active,"Advanced 8-week powerlifting program using peaking split. 6x/week, ~60min/session.",#REF!
PRG082,Bodybuilding Bro Split Beginner,3,10,Aesthetic,Beginner,16,3,Bro Split,Bodybuilding,48,90,Full Gym + Cables,2025-06-22,Active,"Beginner 16-week bodybuilding program using bro split split. 3x/week, ~90min/session.",#REF!
PRG083,Bodybuilding Bro Split Intermediate,3,10,Aesthetic,Intermediate,6,6,Bro Split,Bodybuilding,36,45,Full Gym + Cables,2025-04-08,Active,"Intermediate 6-week bodybuilding program using bro split split. 6x/week, ~45min/session.",#REF!
PRG084,Bodybuilding Bro Split Advanced,3,10,Aesthetic,Advanced,12,4,Bro Split,Bodybuilding,48,45,Dumbbells Only,2025-09-09,Draft,"Advanced 12-week bodybuilding program using bro split split. 4x/week, ~45min/session.",#REF!
