Ex_ID,Name,Muscle_Group,Sub_Group,Equipment,Difficulty,Type,Sets,Reps,Tempo,Rest_sec,PR_Load,Video_Link,Tags
EX018,Bent-Over Row,Back,Rhomboids,Cable,Advanced,Compound,5,15-20,1-0-1,180,,https://azfit.com/ex/EX018,"back, rhomboids, cable, advanced"
EX019,Lat Pulldown,Back,Traps,Cable,Intermediate,Isolation,5,12,2-0-2,180,,https://azfit.com/ex/EX019,"back, traps, cable, intermediate"
EX020,Seated Cable Row,Back,Rhomboids,Smith Machine,Beginner,Compound,4,15-20,3-1-2,60,,https://azfit.com/ex/EX020,"back, rhomboids, smith machine, beginner"
EX021,T-Bar Row,Back,Traps,Dumbbell,Beginner,Plyometric,3,12,3-1-2,90,,https://azfit.com/ex/EX021,"back, traps, dumbbell, beginner"
EX022,Single-Arm Row,Back,Lower Back,Cable,Intermediate,Plyometric,3,12,3-1-2,45,,https://azfit.com/ex/EX022,"back, lower back, cable, intermediate"
EX023,Face Pull,Back,Rhomboids,Resistance Band,Advanced,Functional,4,12,4-0-1,60,,https://azfit.com/ex/EX023,"back, rhomboids, resistance band, advanced"
EX024,Shrugs,Back,Traps,Machine,Beginner,Functional,3,12,3-1-2,180,,https://azfit.com/ex/EX024,"back, traps, machine, beginner"
EX025,Back Extension,Back,Traps,Barbell,Beginner,Compound,3,8-10,2-0-2,120,,https://azfit.com/ex/EX025,"back, traps, barbell, beginner"
EX026,Pendlay Row,Back,Lats,Machine,Intermediate,Plyometric,3,12,3-1-2,45,,https://azfit.com/ex/EX026,"back, lats, machine, intermediate"
EX027,Renegade Row,Back,Lower Back,Machine,Intermediate,Plyometric,3,8-10,2-0-2,45,,https://azfit.com/ex/EX027,"back, lower back, machine, intermediate"
EX028,Meadows Row,Back,Lower Back,Kettlebell,Intermediate,Plyometric,4,6-8,2-0-2,60,,https://azfit.com/ex/EX028,"back, lower back, kettlebell, intermediate"
EX029,Chest-Supported Row,Back,Lower Back,Kettlebell,Beginner,Isolation,3,12-15,1-0-1,150,,https://azfit.com/ex/EX029,"back, lower back, kettlebell, beginner"
EX030,Wide Grip Row,Back,Traps,Resistance Band,Beginner,Functional,4,12-15,2-0-2,150,,https://azfit.com/ex/EX030,"back, traps, resistance band, beginner"
EX031,Squat,Legs,Quads,Barbell,Advanced,Compound,3,12-15,3-1-2,150,,https://azfit.com/ex/EX031,"legs, quads, barbell, advanced"
EX032,Front Squat,Legs,Overall,Smith Machine,Beginner,Plyometric,3,10-12,4-0-1,60,,https://azfit.com/ex/EX032,"legs, overall, smith machine, beginner"
EX033,Leg Press,Legs,Overall,Bodyweight,Intermediate,Functional,4,12,4-0-1,90,,https://azfit.com/ex/EX033,"legs, overall, bodyweight, intermediate"
EX034,Lunge,Legs,Hamstrings,Bodyweight,Beginner,Compound,5,12,2-0-2,45,,https://azfit.com/ex/EX034,"legs, hamstrings, bodyweight, beginner"
EX035,Leg Extension,Legs,Adductors,Barbell,Beginner,Plyometric,5,12,3-1-2,60,,https://azfit.com/ex/EX035,"legs, adductors, barbell, beginner"
EX036,Leg Curl,Legs,Quads,Cable,Beginner,Compound,5,12-15,4-0-1,60,,https://azfit.com/ex/EX036,"legs, quads, cable, beginner"
EX037,Romanian Deadlift,Legs,Hamstrings,Barbell,Advanced,Compound,4,12,2-1-1,120,,https://azfit.com/ex/EX037,"legs, hamstrings, barbell, advanced"
EX038,Box Jump,Legs,Hamstrings,Kettlebell,Beginner,Functional,4,10-12,2-1-1,150,,https://azfit.com/ex/EX038,"legs, hamstrings, kettlebell, beginner"
EX039,Hack Squat,Legs,Adductors,Dumbbell,Beginner,Plyometric,5,8-10,2-0-2,180,,https://azfit.com/ex/EX039,"legs, adductors, dumbbell, beginner"
EX040,Bulgarian Split Squat,Legs,Hamstrings,Bodyweight,Beginner,Functional,3,12-15,2-1-1,120,,https://azfit.com/ex/EX040,"legs, hamstrings, bodyweight, beginner"
EX041,Step-Up,Legs,Hamstrings,Smith Machine,Advanced,Functional,5,12,2-0-2,45,,https://azfit.com/ex/EX041,"legs, hamstrings, smith machine, advanced"
EX042,Goblet Squat,Legs,Adductors,Dumbbell,Beginner,Functional,3,8-10,1-0-1,90,,https://azfit.com/ex/EX042,"legs, adductors, dumbbell, beginner"
EX043,Sissy Squat,Legs,Adductors,Bodyweight,Advanced,Isolation,5,5,3-1-2,45,,https://azfit.com/ex/EX043,"legs, adductors, bodyweight, advanced"
EX044,Nordic Curl,Legs,Adductors,Smith Machine,Intermediate,Compound,3,8,2-1-1,60,,https://azfit.com/ex/EX044,"legs, adductors, smith machine, intermediate"
EX045,Cossack Squat,Legs,Quads,Kettlebell,Beginner,Functional,3,10,1-0-1,45,,https://azfit.com/ex/EX045,"legs, quads, kettlebell, beginner"
EX046,Overhead Press,Shoulders,Overall,Barbell,Beginner,Compound,5,10-12,1-0-1,60,,https://azfit.com/ex/EX046,"shoulders, overall, barbell, beginner"
EX047,Lateral Raise,Shoulders,Rear,Cable,Intermediate,Isolation,3,15-20,2-1-1,60,,https://azfit.com/ex/EX047,"shoulders, rear, cable, intermediate"
EX048,Front Raise,Shoulders,Rear,Machine,Advanced,Isolation,5,8-10,2-1-1,180,,https://azfit.com/ex/EX048,"shoulders, rear, machine, advanced"
EX049,Rear Delt Flye,Shoulders,Overall,Cable,Beginner,Isolation,3,8,2-0-2,90,,https://azfit.com/ex/EX049,"shoulders, overall, cable, beginner"
EX050,Arnold Press,Shoulders,Rear,Resistance Band,Advanced,Isolation,4,10-12,2-0-2,150,,https://azfit.com/ex/EX050,"shoulders, rear, resistance band, advanced"
EX051,Upright Row,Shoulders,Front,Smith Machine,Beginner,Isolation,4,5,2-1-1,90,,https://azfit.com/ex/EX051,"shoulders, front, smith machine, beginner"
EX052,Push Press,Shoulders,Side,Barbell,Advanced,Isolation,4,5,2-1-1,60,,https://azfit.com/ex/EX052,"shoulders, side, barbell, advanced"
EX053,Handstand Push-Up,Shoulders,Rear,Kettlebell,Advanced,Plyometric,5,12,2-1-1,60,,https://azfit.com/ex/EX053,"shoulders, rear, kettlebell, advanced"
EX054,Pike Push-Up,Shoulders,Front,Bodyweight,Beginner,Functional,3,8-10,1-0-1,150,,https://azfit.com/ex/EX054,"shoulders, front, bodyweight, beginner"
EX055,Cuban Press,Shoulders,Rear,Kettlebell,Intermediate,Compound,4,12-15,2-1-1,60,,https://azfit.com/ex/EX055,"shoulders, rear, kettlebell, intermediate"
EX056,Around the World,Shoulders,Overall,Barbell,Advanced,Isolation,4,8,2-0-2,45,,https://azfit.com/ex/EX056,"shoulders, overall, barbell, advanced"
EX057,Face Pull,Shoulders,Rear,Kettlebell,Advanced,Compound,5,15-20,1-0-1,120,,https://azfit.com/ex/EX057,"shoulders, rear, kettlebell, advanced"
EX058,Military Press,Shoulders,Overall,Kettlebell,Intermediate,Functional,5,10-12,3-1-2,150,,https://azfit.com/ex/EX058,"shoulders, overall, kettlebell, intermediate"
EX059,Dumbbell Press,Shoulders,Overall,Cable,Advanced,Functional,4,12,2-0-2,120,,https://azfit.com/ex/EX059,"shoulders, overall, cable, advanced"
EX060,Clean and Press,Shoulders,Rear,Machine,Intermediate,Functional,4,10,4-0-1,45,,https://azfit.com/ex/EX060,"shoulders, rear, machine, intermediate"
EX061,Bicep Curl,Arms,Biceps,Smith Machine,Advanced,Isolation,5,8-10,2-1-1,180,,https://azfit.com/ex/EX061,"arms, biceps, smith machine, advanced"
EX062,Hammer Curl,Arms,Forearms,Kettlebell,Beginner,Isolation,5,15-20,3-1-2,90,,https://azfit.com/ex/EX062,"arms, forearms, kettlebell, beginner"
EX063,Tricep Extension,Arms,Biceps,Barbell,Beginner,Isolation,4,8-10,4-0-1,150,,https://azfit.com/ex/EX063,"arms, biceps, barbell, beginner"
EX064,Skull Crusher,Arms,Forearms,Machine,Advanced,Plyometric,4,8,3-1-2,90,,https://azfit.com/ex/EX064,"arms, forearms, machine, advanced"
EX065,Preacher Curl,Arms,Forearms,Barbell,Beginner,Plyometric,3,10-12,1-0-1,150,,https://azfit.com/ex/EX065,"arms, forearms, barbell, beginner"
EX066,Concentration Curl,Arms,Biceps,Machine,Beginner,Plyometric,3,10,1-0-1,180,,https://azfit.com/ex/EX066,"arms, biceps, machine, beginner"
EX067,Close-Grip Bench,Arms,Forearms,Kettlebell,Intermediate,Plyometric,5,10,3-1-2,45,,https://azfit.com/ex/EX067,"arms, forearms, kettlebell, intermediate"
EX068,Tricep Pushdown,Arms,Triceps,Smith Machine,Intermediate,Isolation,5,15-20,1-0-1,150,,https://azfit.com/ex/EX068,"arms, triceps, smith machine, intermediate"
EX069,Cable Curl,Arms,Forearms,Machine,Intermediate,Plyometric,3,15-20,3-1-2,120,,https://azfit.com/ex/EX069,"arms, forearms, machine, intermediate"
EX070,Diamond Push-Up,Arms,Triceps,Kettlebell,Advanced,Compound,3,10-12,3-1-2,150,,https://azfit.com/ex/EX070,"arms, triceps, kettlebell, advanced"
EX071,Zottman Curl,Arms,Forearms,Cable,Advanced,Isolation,3,8,4-0-1,120,,https://azfit.com/ex/EX071,"arms, forearms, cable, advanced"
EX072,Spider Curl,Arms,Forearms,Smith Machine,Intermediate,Compound,3,8,4-0-1,180,,https://azfit.com/ex/EX072,"arms, forearms, smith machine, intermediate"
EX073,JM Press,Arms,Forearms,Barbell,Advanced,Plyometric,4,6-8,2-1-1,120,,https://azfit.com/ex/EX073,"arms, forearms, barbell, advanced"
EX074,Overhead Extension,Arms,Triceps,Resistance Band,Advanced,Isolation,4,12-15,2-1-1,150,,https://azfit.com/ex/EX074,"arms, triceps, resistance band, advanced"
EX075,Wrist Curl,Arms,Triceps,Barbell,Intermediate,Functional,5,8,3-1-2,150,,https://azfit.com/ex/EX075,"arms, triceps, barbell, intermediate"
EX076,Plank,Core,Lower Abs,Barbell,Intermediate,Compound,3,8,3-1-2,150,,https://azfit.com/ex/EX076,"core, lower abs, barbell, intermediate"
EX077,Crunch,Core,Lower Abs,Barbell,Intermediate,Plyometric,4,12-15,4-0-1,120,,https://azfit.com/ex/EX077,"core, lower abs, barbell, intermediate"
EX078,Leg Raise,Core,Obliques,Resistance Band,Intermediate,Plyometric,4,8-10,4-0-1,60,,https://azfit.com/ex/EX078,"core, obliques, resistance band, intermediate"
EX079,Russian Twist,Core,Upper Abs,Kettlebell,Beginner,Compound,5,6-8,2-0-2,90,,https://azfit.com/ex/EX079,"core, upper abs, kettlebell, beginner"
EX080,Mountain Climber,Core,Lower Abs,Barbell,Advanced,Isolation,3,10-12,4-0-1,45,,https://azfit.com/ex/EX080,"core, lower abs, barbell, advanced"
EX081,Dead Bug,Core,Upper Abs,Machine,Intermediate,Functional,4,10-12,1-0-1,180,,https://azfit.com/ex/EX081,"core, upper abs, machine, intermediate"
EX082,Hanging Knee Raise,Core,Upper Abs,Cable,Intermediate,Compound,5,6-8,2-1-1,180,,https://azfit.com/ex/EX082,"core, upper abs, cable, intermediate"
EX083,Ab Wheel Rollout,Core,Overall,Resistance Band,Advanced,Isolation,3,12-15,2-0-2,45,,https://azfit.com/ex/EX083,"core, overall, resistance band, advanced"
EX084,Woodchop,Core,Obliques,Dumbbell,Advanced,Compound,4,12,4-0-1,45,,https://azfit.com/ex/EX084,"core, obliques, dumbbell, advanced"
EX085,Pallof Press,Core,Obliques,Dumbbell,Advanced,Functional,3,8,4-0-1,60,,https://azfit.com/ex/EX085,"core, obliques, dumbbell, advanced"
EX086,Dragon Flag,Core,Overall,Kettlebell,Advanced,Plyometric,5,10-12,4-0-1,90,,https://azfit.com/ex/EX086,"core, overall, kettlebell, advanced"
EX087,Hollow Body Hold,Core,Obliques,Smith Machine,Intermediate,Plyometric,5,15-20,2-1-1,90,,https://azfit.com/ex/EX087,"core, obliques, smith machine, intermediate"
EX088,Side Plank,Core,Upper Abs,Bodyweight,Intermediate,Isolation,4,8,2-1-1,60,,https://azfit.com/ex/EX088,"core, upper abs, bodyweight, intermediate"
EX089,V-Up,Core,Overall,Kettlebell,Beginner,Plyometric,3,5,2-1-1,120,,https://azfit.com/ex/EX089,"core, overall, kettlebell, beginner"
EX090,Cable Crunch,Core,Obliques,Bodyweight,Advanced,Compound,5,12-15,2-0-2,90,,https://azfit.com/ex/EX090,"core, obliques, bodyweight, advanced"
EX091,Hip Thrust,Glutes,Minimus,Resistance Band,Intermediate,Isolation,5,10,4-0-1,150,,https://azfit.com/ex/EX091,"glutes, minimus, resistance band, intermediate"
EX092,Glute Bridge,Glutes,Maximus,Dumbbell,Intermediate,Isolation,4,12-15,2-1-1,45,,https://azfit.com/ex/EX092,"glutes, maximus, dumbbell, intermediate"
EX093,Cable Kickback,Glutes,Minimus,Kettlebell,Intermediate,Functional,4,12,2-1-1,120,,https://azfit.com/ex/EX093,"glutes, minimus, kettlebell, intermediate"
EX094,Frog Pump,Glutes,Minimus,Smith Machine,Intermediate,Functional,4,12-15,2-0-2,45,,https://azfit.com/ex/EX094,"glutes, minimus, smith machine, intermediate"
EX095,Step-Up,Glutes,Maximus,Kettlebell,Beginner,Isolation,3,12-15,4-0-1,120,,https://azfit.com/ex/EX095,"glutes, maximus, kettlebell, beginner"
EX096,Sumo Deadlift,Glutes,Minimus,Bodyweight,Beginner,Isolation,4,12-15,2-1-1,90,,https://azfit.com/ex/EX096,"glutes, minimus, bodyweight, beginner"
EX097,Banded Walk,Glutes,Medius,Barbell,Advanced,Isolation,4,6-8,2-0-2,180,,https://azfit.com/ex/EX097,"glutes, medius, barbell, advanced"
EX098,Single-Leg RDL,Glutes,Medius,Cable,Advanced,Plyometric,3,6-8,1-0-1,120,,https://azfit.com/ex/EX098,"glutes, medius, cable, advanced"
EX099,Reverse Hyper,Glutes,Medius,Smith Machine,Intermediate,Functional,3,6-8,2-1-1,150,,https://azfit.com/ex/EX099,"glutes, medius, smith machine, intermediate"
EX100,Glute Ham Raise,Glutes,Maximus,Dumbbell,Intermediate,Plyometric,3,6-8,3-1-2,90,,https://azfit.com/ex/EX100,"glutes, maximus, dumbbell, intermediate"
EX101,Pull-Through,Glutes,Minimus,Bodyweight,Beginner,Isolation,3,12,4-0-1,180,,https://azfit.com/ex/EX101,"glutes, minimus, bodyweight, beginner"
EX102,RKC Plank,Glutes,Minimus,Machine,Advanced,Plyometric,4,10,2-1-1,180,,https://azfit.com/ex/EX102,"glutes, minimus, machine, advanced"
EX103,Clamshell,Glutes,Medius,Bodyweight,Advanced,Compound,5,8-10,3-1-2,45,,https://azfit.com/ex/EX103,"glutes, medius, bodyweight, advanced"
EX104,Fire Hydrant,Glutes,Maximus,Bodyweight,Advanced,Compound,3,12-15,3-1-2,180,,https://azfit.com/ex/EX104,"glutes, maximus, bodyweight, advanced"
EX105,Donkey Kick,Glutes,Maximus,Cable,Beginner,Plyometric,4,10,2-1-1,60,,https://azfit.com/ex/EX105,"glutes, maximus, cable, beginner"
EX106,Standing Calf Raise,Calves,Gastrocnemius,Bodyweight,Advanced,Functional,5,10,2-0-2,45,,https://azfit.com/ex/EX106,"calves, gastrocnemius, bodyweight, advanced"
EX107,Seated Calf Raise,Calves,Gastrocnemius,Bodyweight,Advanced,Isolation,4,8-10,1-0-1,90,,https://azfit.com/ex/EX107,"calves, gastrocnemius, bodyweight, advanced"
EX108,Leg Press Calf Raise,Calves,Gastrocnemius,Bodyweight,Beginner,Compound,3,10-12,2-1-1,180,,https://azfit.com/ex/EX108,"calves, gastrocnemius, bodyweight, beginner"
EX109,Single-Leg Calf Raise,Calves,Soleus,Smith Machine,Beginner,Plyometric,5,15-20,4-0-1,120,,https://azfit.com/ex/EX109,"calves, soleus, smith machine, beginner"
EX110,Jump Rope,Calves,Soleus,Smith Machine,Beginner,Compound,4,5,1-0-1,120,,https://azfit.com/ex/EX110,"calves, soleus, smith machine, beginner"
EX111,Box Jump,Calves,Gastrocnemius,Dumbbell,Beginner,Compound,5,15-20,1-0-1,60,,https://azfit.com/ex/EX111,"calves, gastrocnemius, dumbbell, beginner"
EX112,Tibialis Raise,Calves,Gastrocnemius,Smith Machine,Advanced,Plyometric,4,10-12,1-0-1,150,,https://azfit.com/ex/EX112,"calves, gastrocnemius, smith machine, advanced"
EX113,Calf Press,Calves,Soleus,Dumbbell,Intermediate,Functional,4,5,2-1-1,45,,https://azfit.com/ex/EX113,"calves, soleus, dumbbell, intermediate"
EX114,Farmer Walk,Calves,Gastrocnemius,Cable,Intermediate,Plyometric,5,10,2-1-1,45,,https://azfit.com/ex/EX114,"calves, gastrocnemius, cable, intermediate"
EX115,Sled Push,Calves,Soleus,Barbell,Intermediate,Compound,4,15-20,2-1-1,60,,https://azfit.com/ex/EX115,"calves, soleus, barbell, intermediate"
EX116,Sprint,Calves,Soleus,Barbell,Advanced,Plyometric,4,6-8,3-1-2,180,,https://azfit.com/ex/EX116,"calves, soleus, barbell, advanced"
EX117,Skip,Calves,Soleus,Smith Machine,Advanced,Plyometric,3,12-15,2-1-1,180,,https://azfit.com/ex/EX117,"calves, soleus, smith machine, advanced"
EX118,Pogo Jump,Calves,Gastrocnemius,Bodyweight,Intermediate,Plyometric,3,6-8,1-0-1,90,,https://azfit.com/ex/EX118,"calves, gastrocnemius, bodyweight, intermediate"
EX119,Depth Jump,Calves,Gastrocnemius,Bodyweight,Advanced,Compound,5,8,2-0-2,90,,https://azfit.com/ex/EX119,"calves, gastrocnemius, bodyweight, advanced"
EX120,Calf Stretch,Calves,Gastrocnemius,Smith Machine,Beginner,Isolation,4,15-20,1-0-1,45,,https://azfit.com/ex/EX120,"calves, gastrocnemius, smith machine, beginner"
EX121, Guillotine Press,Chest,Lower,Smith Machine,Advanced,Isolation,4,12-15,1-0-1,180,,https://azfit.com/ex/EX121,"chest, lower, smith machine, advanced"
EX122,Reverse Grip Bench,Chest,Lower,Dumbbell,Intermediate,Plyometric,4,12,2-1-1,60,,https://azfit.com/ex/EX122,"chest, lower, dumbbell, intermediate"
EX123,Spoto Press,Chest,Inner,Bodyweight,Advanced,Plyometric,3,10,1-0-1,150,,https://azfit.com/ex/EX123,"chest, inner, bodyweight, advanced"
EX124,Pin Press,Chest,Inner,Kettlebell,Advanced,Plyometric,4,5,3-1-2,45,,https://azfit.com/ex/EX124,"chest, inner, kettlebell, advanced"
EX125,Board Press,Chest,Lower,Resistance Band,Beginner,Plyometric,3,5,4-0-1,45,,https://azfit.com/ex/EX125,"chest, lower, resistance band, beginner"
EX126,Banded Bench,Chest,Overall,Resistance Band,Advanced,Isolation,4,6-8,3-1-2,180,,https://azfit.com/ex/EX126,"chest, overall, resistance band, advanced"
EX127,Chain Bench,Chest,Inner,Dumbbell,Intermediate,Compound,5,10,2-0-2,45,,https://azfit.com/ex/EX127,"chest, inner, dumbbell, intermediate"
EX128,Deficit Push-Up,Chest,Lower,Resistance Band,Advanced,Isolation,3,10,2-1-1,120,,https://azfit.com/ex/EX128,"chest, lower, resistance band, advanced"
EX129,Weighted Dip,Chest,Overall,Dumbbell,Intermediate,Plyometric,4,10,1-0-1,60,,https://azfit.com/ex/EX129,"chest, overall, dumbbell, intermediate"
EX130,Ring Push-Up,Chest,Upper,Machine,Advanced,Functional,3,8-10,4-0-1,60,,https://azfit.com/ex/EX130,"chest, upper, machine, advanced"
EX131,Isometric Hold Press,Chest,Upper,Smith Machine,Beginner,Functional,3,6-8,2-1-1,60,,https://azfit.com/ex/EX131,"chest, upper, smith machine, beginner"
EX132,Bottom-Up Press,Chest,Inner,Kettlebell,Intermediate,Plyometric,3,12-15,1-0-1,150,,https://azfit.com/ex/EX132,"chest, inner, kettlebell, intermediate"
EX133,Neutral Grip Press,Chest,Lower,Cable,Beginner,Compound,5,8,1-0-1,45,,https://azfit.com/ex/EX133,"chest, lower, cable, beginner"
EX134,Football Bar Press,Chest,Lower,Smith Machine,Advanced,Isolation,3,10,2-1-1,150,,https://azfit.com/ex/EX134,"chest, lower, smith machine, advanced"
EX135,Multi-Grip Press,Chest,Inner,Barbell,Intermediate,Functional,5,12,3-1-2,60,,https://azfit.com/ex/EX135,"chest, inner, barbell, intermediate"
EX136,Seal Row,Back,Lower Back,Kettlebell,Advanced,Functional,5,8,2-1-1,150,,https://azfit.com/ex/EX136,"back, lower back, kettlebell, advanced"
EX137,Helms Row,Back,Rhomboids,Machine,Intermediate,Plyometric,3,12-15,4-0-1,180,,https://azfit.com/ex/EX137,"back, rhomboids, machine, intermediate"
EX138,Kroc Row,Back,Rhomboids,Bodyweight,Advanced,Functional,3,8,2-1-1,60,,https://azfit.com/ex/EX138,"back, rhomboids, bodyweight, advanced"
EX139,Yates Row,Back,Lats,Smith Machine,Intermediate,Isolation,5,5,3-1-2,45,,https://azfit.com/ex/EX139,"back, lats, smith machine, intermediate"
EX140,Corner Bar Row,Back,Traps,Bodyweight,Advanced,Isolation,5,8-10,2-0-2,120,,https://azfit.com/ex/EX140,"back, traps, bodyweight, advanced"
EX141,Hammer Strength Row,Back,Lower Back,Barbell,Advanced,Functional,5,10-12,2-0-2,120,,https://azfit.com/ex/EX141,"back, lower back, barbell, advanced"
EX142,ISO-Lateral Row,Back,Rhomboids,Resistance Band,Beginner,Isolation,3,12,2-1-1,180,,https://azfit.com/ex/EX142,"back, rhomboids, resistance band, beginner"
EX143,Mag Grip Pulldown,Back,Rhomboids,Cable,Intermediate,Plyometric,4,5,2-0-2,150,,https://azfit.com/ex/EX143,"back, rhomboids, cable, intermediate"
EX144,Chin-Up,Back,Lats,Cable,Beginner,Plyometric,5,5,2-0-2,150,,https://azfit.com/ex/EX144,"back, lats, cable, beginner"
EX145,Neutral Grip Pull-Up,Back,Lats,Bodyweight,Advanced,Compound,4,5,2-1-1,180,,https://azfit.com/ex/EX145,"back, lats, bodyweight, advanced"
EX146,Wide Grip Pull-Up,Back,Lower Back,Kettlebell,Beginner,Isolation,4,6-8,1-0-1,180,,https://azfit.com/ex/EX146,"back, lower back, kettlebell, beginner"
EX147,Commando Pull-Up,Back,Rhomboids,Machine,Advanced,Compound,5,10,2-1-1,45,,https://azfit.com/ex/EX147,"back, rhomboids, machine, advanced"
EX148,Archer Row,Back,Lower Back,Dumbbell,Beginner,Compound,3,15-20,4-0-1,60,,https://azfit.com/ex/EX148,"back, lower back, dumbbell, beginner"
EX149,Batwing Row,Back,Lats,Machine,Advanced,Isolation,4,10,2-1-1,45,,https://azfit.com/ex/EX149,"back, lats, machine, advanced"
EX150,Dynamic Effort Row,Back,Lower Back,Cable,Intermediate,Compound,4,8,2-1-1,60,,https://azfit.com/ex/EX150,"back, lower back, cable, intermediate"
EX151,Anderson Squat,Legs,Adductors,Machine,Intermediate,Plyometric,3,5,2-0-2,45,,https://azfit.com/ex/EX151,"legs, adductors, machine, intermediate"
EX152,Pin Squat,Legs,Adductors,Kettlebell,Beginner,Plyometric,4,12-15,2-0-2,150,,https://azfit.com/ex/EX152,"legs, adductors, kettlebell, beginner"
EX153,Pause Squat,Legs,Quads,Machine,Advanced,Compound,3,5,3-1-2,90,,https://azfit.com/ex/EX153,"legs, quads, machine, advanced"
EX154,Tempo Squat,Legs,Hamstrings,Dumbbell,Advanced,Isolation,5,12-15,3-1-2,120,,https://azfit.com/ex/EX154,"legs, hamstrings, dumbbell, advanced"
EX155,Safety Bar Squat,Legs,Hamstrings,Barbell,Intermediate,Isolation,3,12,2-1-1,90,,https://azfit.com/ex/EX155,"legs, hamstrings, barbell, intermediate"
EX156,Cambridge Squat,Legs,Quads,Barbell,Beginner,Compound,4,12-15,1-0-1,120,,https://azfit.com/ex/EX156,"legs, quads, barbell, beginner"
EX157,Hatfield Squat,Legs,Quads,Cable,Intermediate,Compound,3,8,1-0-1,60,,https://azfit.com/ex/EX157,"legs, quads, cable, intermediate"
EX158,Belt Squat,Legs,Quads,Smith Machine,Intermediate,Functional,5,8-10,4-0-1,180,,https://azfit.com/ex/EX158,"legs, quads, smith machine, intermediate"
EX159,Pendulum Squat,Legs,Hamstrings,Barbell,Advanced,Functional,4,6-8,2-0-2,150,,https://azfit.com/ex/EX159,"legs, hamstrings, barbell, advanced"
EX160,Hip Belt Squat,Legs,Overall,Resistance Band,Advanced,Compound,4,10,2-0-2,60,,https://azfit.com/ex/EX160,"legs, overall, resistance band, advanced"
EX161,Reverse Lunge,Legs,Adductors,Cable,Beginner,Isolation,4,12,2-1-1,150,,https://azfit.com/ex/EX161,"legs, adductors, cable, beginner"
EX162,Walking Lunge,Legs,Adductors,Smith Machine,Advanced,Plyometric,3,8-10,1-0-1,45,,https://azfit.com/ex/EX162,"legs, adductors, smith machine, advanced"
EX163,Curtsy Lunge,Legs,Hamstrings,Resistance Band,Intermediate,Isolation,4,5,4-0-1,150,,https://azfit.com/ex/EX163,"legs, hamstrings, resistance band, intermediate"
